station_id,stationname,date,daytype,rides
40560,Jackson/State,1/1/22,A,889
40570,California/Milwaukee,1/1/22,A,1038
40580,54th/Cermak,1/1/22,A,387
40590,Damen/Milwaukee,1/1/22,A,1606
40600,Kostner,1/1/22,A,82
40610,Ridgeland,1/1/22,A,103
40630,Clark/Division,1/1/22,A,1886
40650,North/Clybourn,1/1/22,A,1267
40660,Armitage,1/1/22,A,575
40670,Western/Milwaukee,1/1/22,A,1078
40680,Adams/Wabash,1/1/22,A,675
40690,Dempster,1/1/22,A,113
40700,Laramie,1/1/22,A,165
40710,Chicago/Franklin,1/1/22,A,868
40720,East 63rd-Cottage Grove,1/1/22,A,153
40730,Washington/Wells,1/1/22,A,338
40740,Western-Cermak,1/1/22,A,267
40750,Harlem-O'Hare,1/1/22,A,363
40760,Granville,1/1/22,A,697
40770,Lawrence,1/1/22,A,0
40780,Central Park,1/1/22,A,247
40790,Monroe/Dearborn,1/1/22,A,496
40800,Sedgwick,1/1/22,A,609
40810,Medical Center,1/1/22,A,275
40820,Rosemont,1/1/22,A,960
40830,18th,1/1/22,A,370
40840,South Boulevard,1/1/22,A,98
40850,Library,1/1/22,A,494
40870,Francisco,1/1/22,A,205
40880,Thorndale,1/1/22,A,529
40890,O'Hare Airport,1/1/22,A,3500
40900,Howard,1/1/22,A,1109
40910,63rd-Dan Ryan,1/1/22,A,626
40920,Pulaski-Forest Park,1/1/22,A,637
40930,Midway Airport,1/1/22,A,842
40940,Halsted/63rd,1/1/22,A,69
40960,Pulaski-Orange,1/1/22,A,492
40970,Cicero-Forest Park,1/1/22,A,296
40980,Harlem-Forest Park,1/1/22,A,123
40990,69th,1/1/22,A,931
41000,Cermak-Chinatown,1/1/22,A,1324
41010,Rockwell,1/1/22,A,158
41020,Logan Square,1/1/22,A,1174
41030,Polk,1/1/22,A,214
41040,Kedzie-Cermak,1/1/22,A,218
41050,Linden,1/1/22,A,86
41060,Ashland-Orange,1/1/22,A,214
41070,Kedzie-Lake,1/1/22,A,238
41080,47th-South Elevated,1/1/22,A,166
41090,Monroe/State,1/1/22,A,1044
41120,35-Bronzeville-IIT,1/1/22,A,197
41130,Halsted-Orange,1/1/22,A,291
41140,King Drive,1/1/22,A,110
41150,Kedzie-Midway,1/1/22,A,478
41160,Clinton-Lake,1/1/22,A,437
41170,Garfield-Dan Ryan,1/1/22,A,611
41180,Kedzie-Brown,1/1/22,A,427
41190,Jarvis,1/1/22,A,326
41200,Argyle,1/1/22,A,947
41210,Wellington,1/1/22,A,331
41220,Fullerton,1/1/22,A,2351
41230,47th-Dan Ryan,1/1/22,A,519
41240,Addison-O'Hare,1/1/22,A,362
41250,Central-Evanston,1/1/22,A,72
41260,Austin-Lake,1/1/22,A,263
41270,43rd,1/1/22,A,120
41280,Jefferson Park,1/1/22,A,1073
41290,Kimball,1/1/22,A,719
41300,Loyola,1/1/22,A,881
41310,Paulina,1/1/22,A,352
41320,Belmont-North Main,1/1/22,A,3054
41330,Montrose-O'Hare,1/1/22,A,363
41340,LaSalle,1/1/22,A,398
41350,Oak Park-Lake,1/1/22,A,109
41360,California-Lake,1/1/22,A,148
41380,Bryn Mawr,1/1/22,A,729
41400,Roosevelt,1/1/22,A,2462
41410,Chicago/Milwaukee,1/1/22,A,638
41420,Addison-North Main,1/1/22,A,2332
41430,87th,1/1/22,A,719
41440,Addison-Brown,1/1/22,A,223
41450,Chicago/State,1/1/22,A,3281
41460,Irving Park-Brown,1/1/22,A,380
41480,Western-Brown,1/1/22,A,561
41490,Harrison,1/1/22,A,893
41500,Montrose-Brown,1/1/22,A,333
41510,Morgan-Lake,1/1/22,A,793
41660,Lake/State,1/1/22,A,3577
41670,Conservatory,1/1/22,A,281
41680,Oakton-Skokie,1/1/22,A,62
41690,Cermak-McCormick Place,1/1/22,A,361
41700,Washington/Wabash,1/1/22,A,1542
40010,Austin-Forest Park,1/2/22,U,178
40020,Harlem-Lake,1/2/22,U,609
40030,Pulaski-Lake,1/2/22,U,304
40040,Quincy/Wells,1/2/22,U,578
40050,Davis,1/2/22,U,527
40060,Belmont-O'Hare,1/2/22,U,891
40070,Jackson/Dearborn,1/2/22,U,797
40080,Sheridan,1/2/22,U,804
40090,Damen-Brown,1/2/22,U,344
40100,Morse,1/2/22,U,863
40120,35th/Archer,1/2/22,U,430
40130,51st,1/2/22,U,188
40140,Dempster-Skokie,1/2/22,U,247
40150,Pulaski-Cermak,1/2/22,U,281
40160,LaSalle/Van Buren,1/2/22,U,180
40170,Ashland-Lake,1/2/22,U,375
40180,Oak Park-Forest Park,1/2/22,U,125
40190,Sox-35th-Dan Ryan,1/2/22,U,571
40210,Damen-Cermak,1/2/22,U,337
40220,Western-Forest Park,1/2/22,U,257
40230,Cumberland,1/2/22,U,471
40240,79th,1/2/22,U,1252
40250,Kedzie-Homan-Forest Park,1/2/22,U,299
40260,State/Lake,1/2/22,U,2003
40270,Main,1/2/22,U,188
40280,Central-Lake,1/2/22,U,354
40290,Ashland/63rd,1/2/22,U,175
40300,Indiana,1/2/22,U,100
40310,Western-Orange,1/2/22,U,642
40320,Division/Milwaukee,1/2/22,U,1011
40330,Grand/State,1/2/22,U,2729
40340,Berwyn,1/2/22,U,0
40350,UIC-Halsted,1/2/22,U,436
40360,Southport,1/2/22,U,538
40370,Washington/Dearborn,1/2/22,U,2155
40380,Clark/Lake,1/2/22,U,1745
40390,Forest Park,1/2/22,U,309
40400,Noyes,1/2/22,U,133
40420,Cicero-Cermak,1/2/22,U,295
40430,Clinton-Forest Park,1/2/22,U,437
40440,California-Cermak,1/2/22,U,313
40450,95th/Dan Ryan,1/2/22,U,1476
40460,Merchandise Mart,1/2/22,U,443
40470,Racine,1/2/22,U,254
40480,Cicero-Lake,1/2/22,U,148
40490,Grand/Milwaukee,1/2/22,U,505
40510,Garfield-South Elevated,1/2/22,U,224
40520,Foster,1/2/22,U,105
40530,Diversey,1/2/22,U,635
40540,Wilson,1/2/22,U,1799
40550,Irving Park-O'Hare,1/2/22,U,635
40560,Jackson/State,1/2/22,U,863
40570,California/Milwaukee,1/2/22,U,749
40580,54th/Cermak,1/2/22,U,416
40590,Damen/Milwaukee,1/2/22,U,1057
40600,Kostner,1/2/22,U,81
40610,Ridgeland,1/2/22,U,147
40630,Clark/Division,1/2/22,U,1790
40650,North/Clybourn,1/2/22,U,1172
40660,Armitage,1/2/22,U,542
40670,Western/Milwaukee,1/2/22,U,744
40680,Adams/Wabash,1/2/22,U,747
40690,Dempster,1/2/22,U,135
40700,Laramie,1/2/22,U,124
40710,Chicago/Franklin,1/2/22,U,783
40720,East 63rd-Cottage Grove,1/2/22,U,139
40730,Washington/Wells,1/2/22,U,308
40740,Western-Cermak,1/2/22,U,269
40750,Harlem-O'Hare,1/2/22,U,423
40760,Granville,1/2/22,U,653
40770,Lawrence,1/2/22,U,0
40780,Central Park,1/2/22,U,238
40790,Monroe/Dearborn,1/2/22,U,561
40800,Sedgwick,1/2/22,U,578
40810,Medical Center,1/2/22,U,351
40820,Rosemont,1/2/22,U,1005
40830,18th,1/2/22,U,393
40840,South Boulevard,1/2/22,U,117
40850,Library,1/2/22,U,532
40870,Francisco,1/2/22,U,214
40880,Thorndale,1/2/22,U,538
40890,O'Hare Airport,1/2/22,U,5110
40900,Howard,1/2/22,U,1070
40910,63rd-Dan Ryan,1/2/22,U,612
40920,Pulaski-Forest Park,1/2/22,U,509
40930,Midway Airport,1/2/22,U,1631
40940,Halsted/63rd,1/2/22,U,74
40960,Pulaski-Orange,1/2/22,U,637
40970,Cicero-Forest Park,1/2/22,U,251
40980,Harlem-Forest Park,1/2/22,U,96
40990,69th,1/2/22,U,858
41000,Cermak-Chinatown,1/2/22,U,1186
41010,Rockwell,1/2/22,U,208
41020,Logan Square,1/2/22,U,1135
41030,Polk,1/2/22,U,234
41040,Kedzie-Cermak,1/2/22,U,234
41050,Linden,1/2/22,U,88
41060,Ashland-Orange,1/2/22,U,298
41070,Kedzie-Lake,1/2/22,U,265
41080,47th-South Elevated,1/2/22,U,178
41090,Monroe/State,1/2/22,U,935
41120,35-Bronzeville-IIT,1/2/22,U,182
41130,Halsted-Orange,1/2/22,U,335
41140,King Drive,1/2/22,U,85
41150,Kedzie-Midway,1/2/22,U,556
41160,Clinton-Lake,1/2/22,U,466
41170,Garfield-Dan Ryan,1/2/22,U,464
41180,Kedzie-Brown,1/2/22,U,413
41190,Jarvis,1/2/22,U,374
41200,Argyle,1/2/22,U,926
41210,Wellington,1/2/22,U,283
41220,Fullerton,1/2/22,U,1856
41230,47th-Dan Ryan,1/2/22,U,446
41240,Addison-O'Hare,1/2/22,U,387
41250,Central-Evanston,1/2/22,U,138
41260,Austin-Lake,1/2/22,U,274
41270,43rd,1/2/22,U,145
41280,Jefferson Park,1/2/22,U,1153
41290,Kimball,1/2/22,U,773
41300,Loyola,1/2/22,U,788
41310,Paulina,1/2/22,U,376
41320,Belmont-North Main,1/2/22,U,2332
41330,Montrose-O'Hare,1/2/22,U,304
41340,LaSalle,1/2/22,U,412
41350,Oak Park-Lake,1/2/22,U,170
41360,California-Lake,1/2/22,U,154
41380,Bryn Mawr,1/2/22,U,786
41400,Roosevelt,1/2/22,U,4443
41410,Chicago/Milwaukee,1/2/22,U,533
41420,Addison-North Main,1/2/22,U,1384
41430,87th,1/2/22,U,669
41440,Addison-Brown,1/2/22,U,280
41450,Chicago/State,1/2/22,U,2919
41460,Irving Park-Brown,1/2/22,U,334
41480,Western-Brown,1/2/22,U,601
41490,Harrison,1/2/22,U,771
41500,Montrose-Brown,1/2/22,U,313
41510,Morgan-Lake,1/2/22,U,820
41660,Lake/State,1/2/22,U,3481
41670,Conservatory,1/2/22,U,257
41680,Oakton-Skokie,1/2/22,U,89
41690,Cermak-McCormick Place,1/2/22,U,336
41700,Washington/Wabash,1/2/22,U,1847
40010,Austin-Forest Park,1/3/22,W,374
40020,Harlem-Lake,1/3/22,W,1059
40030,Pulaski-Lake,1/3/22,W,534
40040,Quincy/Wells,1/3/22,W,1363
40050,Davis,1/3/22,W,980
40060,Belmont-O'Hare,1/3/22,W,1559
40070,Jackson/Dearborn,1/3/22,W,1287
40080,Sheridan,1/3/22,W,1278
40090,Damen-Brown,1/3/22,W,839
40100,Morse,1/3/22,W,1345
40120,35th/Archer,1/3/22,W,886
40130,51st,1/3/22,W,335
40140,Dempster-Skokie,1/3/22,W,386
40150,Pulaski-Cermak,1/3/22,W,481
40160,LaSalle/Van Buren,1/3/22,W,607
40170,Ashland-Lake,1/3/22,W,900
40180,Oak Park-Forest Park,1/3/22,W,291
40190,Sox-35th-Dan Ryan,1/3/22,W,979
40210,Damen-Cermak,1/3/22,W,605
40220,Western-Forest Park,1/3/22,W,475
40230,Cumberland,1/3/22,W,842
40240,79th,1/3/22,W,2059
40250,Kedzie-Homan-Forest Park,1/3/22,W,562
40260,State/Lake,1/3/22,W,2922
40270,Main,1/3/22,W,322
40280,Central-Lake,1/3/22,W,745
40290,Ashland/63rd,1/3/22,W,329
40300,Indiana,1/3/22,W,267
40310,Western-Orange,1/3/22,W,1251
40320,Division/Milwaukee,1/3/22,W,1426
40330,Grand/State,1/3/22,W,2752
40340,Berwyn,1/3/22,W,0
40350,UIC-Halsted,1/3/22,W,723
40360,Southport,1/3/22,W,761
40370,Washington/Dearborn,1/3/22,W,3252
40380,Clark/Lake,1/3/22,W,3651
40390,Forest Park,1/3/22,W,731
40400,Noyes,1/3/22,W,221
40420,Cicero-Cermak,1/3/22,W,472
40430,Clinton-Forest Park,1/3/22,W,750
40440,California-Cermak,1/3/22,W,608
40450,95th/Dan Ryan,1/3/22,W,2984
40460,Merchandise Mart,1/3/22,W,1237
40470,Racine,1/3/22,W,810
40480,Cicero-Lake,1/3/22,W,387
40490,Grand/Milwaukee,1/3/22,W,736
40510,Garfield-South Elevated,1/3/22,W,365
40520,Foster,1/3/22,W,207
40530,Diversey,1/3/22,W,1312
40540,Wilson,1/3/22,W,2737
40550,Irving Park-O'Hare,1/3/22,W,1215
40560,Jackson/State,1/3/22,W,1411
40570,California/Milwaukee,1/3/22,W,1236
40580,54th/Cermak,1/3/22,W,843
40590,Damen/Milwaukee,1/3/22,W,1421
40600,Kostner,1/3/22,W,175
40610,Ridgeland,1/3/22,W,279
40630,Clark/Division,1/3/22,W,2548
40650,North/Clybourn,1/3/22,W,1525
40660,Armitage,1/3/22,W,1392
40670,Western/Milwaukee,1/3/22,W,1171
40680,Adams/Wabash,1/3/22,W,1591
40690,Dempster,1/3/22,W,223
40700,Laramie,1/3/22,W,365
40710,Chicago/Franklin,1/3/22,W,1747
40720,East 63rd-Cottage Grove,1/3/22,W,339
40730,Washington/Wells,1/3/22,W,1546
40740,Western-Cermak,1/3/22,W,473
40750,Harlem-O'Hare,1/3/22,W,858
40760,Granville,1/3/22,W,921
40770,Lawrence,1/3/22,W,0
40780,Central Park,1/3/22,W,395
40790,Monroe/Dearborn,1/3/22,W,1322
40800,Sedgwick,1/3/22,W,972
40810,Medical Center,1/3/22,W,891
40820,Rosemont,1/3/22,W,1700
40830,18th,1/3/22,W,608
40840,South Boulevard,1/3/22,W,226
40850,Library,1/3/22,W,1155
40870,Francisco,1/3/22,W,471
40880,Thorndale,1/3/22,W,938
40890,O'Hare Airport,1/3/22,W,5066
40900,Howard,1/3/22,W,1755
40910,63rd-Dan Ryan,1/3/22,W,994
40920,Pulaski-Forest Park,1/3/22,W,789
40930,Midway Airport,1/3/22,W,2537
40940,Halsted/63rd,1/3/22,W,165
40960,Pulaski-Orange,1/3/22,W,1777
40970,Cicero-Forest Park,1/3/22,W,398
40980,Harlem-Forest Park,1/3/22,W,283
40990,69th,1/3/22,W,1487
41000,Cermak-Chinatown,1/3/22,W,1245
41010,Rockwell,1/3/22,W,420
41020,Logan Square,1/3/22,W,1687
41030,Polk,1/3/22,W,839
41040,Kedzie-Cermak,1/3/22,W,424
41050,Linden,1/3/22,W,201
41060,Ashland-Orange,1/3/22,W,594
41070,Kedzie-Lake,1/3/22,W,468
41080,47th-South Elevated,1/3/22,W,341
41090,Monroe/State,1/3/22,W,1766
41120,35-Bronzeville-IIT,1/3/22,W,409
41130,Halsted-Orange,1/3/22,W,644
41140,King Drive,1/3/22,W,155
41150,Kedzie-Midway,1/3/22,W,1271
41160,Clinton-Lake,1/3/22,W,993
41170,Garfield-Dan Ryan,1/3/22,W,1016
41180,Kedzie-Brown,1/3/22,W,758
41190,Jarvis,1/3/22,W,507
41200,Argyle,1/3/22,W,1240
41210,Wellington,1/3/22,W,688
41220,Fullerton,1/3/22,W,2717
41230,47th-Dan Ryan,1/3/22,W,899
41240,Addison-O'Hare,1/3/22,W,753
41250,Central-Evanston,1/3/22,W,280
41260,Austin-Lake,1/3/22,W,621
41270,43rd,1/3/22,W,298
41280,Jefferson Park,1/3/22,W,2142
41290,Kimball,1/3/22,W,1482
41300,Loyola,1/3/22,W,1201
41310,Paulina,1/3/22,W,705
41320,Belmont-North Main,1/3/22,W,2965
41330,Montrose-O'Hare,1/3/22,W,578
41340,LaSalle,1/3/22,W,765
41350,Oak Park-Lake,1/3/22,W,308
41360,California-Lake,1/3/22,W,398
41380,Bryn Mawr,1/3/22,W,1257
41400,Roosevelt,1/3/22,W,3363
41410,Chicago/Milwaukee,1/3/22,W,1056
41420,Addison-North Main,1/3/22,W,1579
41430,87th,1/3/22,W,1202
41440,Addison-Brown,1/3/22,W,617
41450,Chicago/State,1/3/22,W,3504
41460,Irving Park-Brown,1/3/22,W,769
41480,Western-Brown,1/3/22,W,1156
41490,Harrison,1/3/22,W,1043
41500,Montrose-Brown,1/3/22,W,636
41510,Morgan-Lake,1/3/22,W,964
41660,Lake/State,1/3/22,W,4659
41670,Conservatory,1/3/22,W,357
41680,Oakton-Skokie,1/3/22,W,227
41690,Cermak-McCormick Place,1/3/22,W,469
41700,Washington/Wabash,1/3/22,W,3555
40010,Austin-Forest Park,1/4/22,W,425
40020,Harlem-Lake,1/4/22,W,1243
40030,Pulaski-Lake,1/4/22,W,574
40040,Quincy/Wells,1/4/22,W,1670
40050,Davis,1/4/22,W,976
40060,Belmont-O'Hare,1/4/22,W,1737
40070,Jackson/Dearborn,1/4/22,W,1388
40080,Sheridan,1/4/22,W,1316
40090,Damen-Brown,1/4/22,W,914
40100,Morse,1/4/22,W,1478
40120,35th/Archer,1/4/22,W,998
40130,51st,1/4/22,W,378
40140,Dempster-Skokie,1/4/22,W,437
40150,Pulaski-Cermak,1/4/22,W,468
40160,LaSalle/Van Buren,1/4/22,W,718
40170,Ashland-Lake,1/4/22,W,977
40180,Oak Park-Forest Park,1/4/22,W,330
40190,Sox-35th-Dan Ryan,1/4/22,W,1121
40210,Damen-Cermak,1/4/22,W,693
40220,Western-Forest Park,1/4/22,W,563
40230,Cumberland,1/4/22,W,1006
40240,79th,1/4/22,W,2239
40250,Kedzie-Homan-Forest Park,1/4/22,W,632
40260,State/Lake,1/4/22,W,3128
40270,Main,1/4/22,W,363
40280,Central-Lake,1/4/22,W,847
40290,Ashland/63rd,1/4/22,W,378
40300,Indiana,1/4/22,W,269
40310,Western-Orange,1/4/22,W,1477
40320,Division/Milwaukee,1/4/22,W,1791
40330,Grand/State,1/4/22,W,2622
40340,Berwyn,1/4/22,W,0
40350,UIC-Halsted,1/4/22,W,838
40360,Southport,1/4/22,W,817
40370,Washington/Dearborn,1/4/22,W,3473
40380,Clark/Lake,1/4/22,W,4053
40390,Forest Park,1/4/22,W,855
40400,Noyes,1/4/22,W,241
40420,Cicero-Cermak,1/4/22,W,508
40430,Clinton-Forest Park,1/4/22,W,801
40440,California-Cermak,1/4/22,W,631
40450,95th/Dan Ryan,1/4/22,W,3262
40460,Merchandise Mart,1/4/22,W,1497
40470,Racine,1/4/22,W,817
40480,Cicero-Lake,1/4/22,W,461
40490,Grand/Milwaukee,1/4/22,W,851
40510,Garfield-South Elevated,1/4/22,W,389
40520,Foster,1/4/22,W,211
40530,Diversey,1/4/22,W,1476
40540,Wilson,1/4/22,W,2910
40550,Irving Park-O'Hare,1/4/22,W,1391
40560,Jackson/State,1/4/22,W,1504
40570,California/Milwaukee,1/4/22,W,1439
40580,54th/Cermak,1/4/22,W,951
40590,Damen/Milwaukee,1/4/22,W,1592
40600,Kostner,1/4/22,W,193
40610,Ridgeland,1/4/22,W,317
40630,Clark/Division,1/4/22,W,2736
40650,North/Clybourn,1/4/22,W,1710
40660,Armitage,1/4/22,W,1495
40670,Western/Milwaukee,1/4/22,W,1427
40680,Adams/Wabash,1/4/22,W,1607
40690,Dempster,1/4/22,W,265
40700,Laramie,1/4/22,W,405
40710,Chicago/Franklin,1/4/22,W,2040
40720,East 63rd-Cottage Grove,1/4/22,W,345
40730,Washington/Wells,1/4/22,W,1780
40740,Western-Cermak,1/4/22,W,510
40750,Harlem-O'Hare,1/4/22,W,1001
40760,Granville,1/4/22,W,1084
40770,Lawrence,1/4/22,W,0
40780,Central Park,1/4/22,W,456
40790,Monroe/Dearborn,1/4/22,W,1456
40800,Sedgwick,1/4/22,W,1195
40810,Medical Center,1/4/22,W,1057
40820,Rosemont,1/4/22,W,1904
40830,18th,1/4/22,W,733
40840,South Boulevard,1/4/22,W,243
40850,Library,1/4/22,W,1208
40870,Francisco,1/4/22,W,495
40880,Thorndale,1/4/22,W,995
40890,O'Hare Airport,1/4/22,W,4876
40900,Howard,1/4/22,W,1898
40910,63rd-Dan Ryan,1/4/22,W,1071
40920,Pulaski-Forest Park,1/4/22,W,865
40930,Midway Airport,1/4/22,W,2745
40940,Halsted/63rd,1/4/22,W,188
40960,Pulaski-Orange,1/4/22,W,1959
40970,Cicero-Forest Park,1/4/22,W,525
40980,Harlem-Forest Park,1/4/22,W,350
40990,69th,1/4/22,W,1660
41000,Cermak-Chinatown,1/4/22,W,1298
41010,Rockwell,1/4/22,W,455
41020,Logan Square,1/4/22,W,1886
41030,Polk,1/4/22,W,1259
41040,Kedzie-Cermak,1/4/22,W,441
41050,Linden,1/4/22,W,227
41060,Ashland-Orange,1/4/22,W,704
41070,Kedzie-Lake,1/4/22,W,529
41080,47th-South Elevated,1/4/22,W,405
41090,Monroe/State,1/4/22,W,1670
41120,35-Bronzeville-IIT,1/4/22,W,466
41130,Halsted-Orange,1/4/22,W,784
41140,King Drive,1/4/22,W,169
41150,Kedzie-Midway,1/4/22,W,1345
41160,Clinton-Lake,1/4/22,W,1176
41170,Garfield-Dan Ryan,1/4/22,W,1111
41180,Kedzie-Brown,1/4/22,W,799
41190,Jarvis,1/4/22,W,567
41200,Argyle,1/4/22,W,1371
41210,Wellington,1/4/22,W,865
41220,Fullerton,1/4/22,W,2984
41230,47th-Dan Ryan,1/4/22,W,979
41240,Addison-O'Hare,1/4/22,W,851
41250,Central-Evanston,1/4/22,W,263
41260,Austin-Lake,1/4/22,W,658
41270,43rd,1/4/22,W,317
41280,Jefferson Park,1/4/22,W,2278
41290,Kimball,1/4/22,W,1592
41300,Loyola,1/4/22,W,1213
41310,Paulina,1/4/22,W,847
41320,Belmont-North Main,1/4/22,W,3380
41330,Montrose-O'Hare,1/4/22,W,594
41340,LaSalle,1/4/22,W,777
41350,Oak Park-Lake,1/4/22,W,357
41360,California-Lake,1/4/22,W,407
41380,Bryn Mawr,1/4/22,W,1541
41400,Roosevelt,1/4/22,W,3562
41410,Chicago/Milwaukee,1/4/22,W,1294
41420,Addison-North Main,1/4/22,W,1639
41430,87th,1/4/22,W,1335
41440,Addison-Brown,1/4/22,W,645
41450,Chicago/State,1/4/22,W,3840
41460,Irving Park-Brown,1/4/22,W,819
41480,Western-Brown,1/4/22,W,1224
41490,Harrison,1/4/22,W,1072
41500,Montrose-Brown,1/4/22,W,688
41510,Morgan-Lake,1/4/22,W,1218
41660,Lake/State,1/4/22,W,4920
41670,Conservatory,1/4/22,W,375
41680,Oakton-Skokie,1/4/22,W,274
41690,Cermak-McCormick Place,1/4/22,W,532
41700,Washington/Wabash,1/4/22,W,3802
40010,Austin-Forest Park,1/5/22,W,383
40020,Harlem-Lake,1/5/22,W,1080
40030,Pulaski-Lake,1/5/22,W,447
40040,Quincy/Wells,1/5/22,W,1461
40050,Davis,1/5/22,W,934
40060,Belmont-O'Hare,1/5/22,W,1589
40070,Jackson/Dearborn,1/5/22,W,1258
40080,Sheridan,1/5/22,W,1162
40090,Damen-Brown,1/5/22,W,720
40100,Morse,1/5/22,W,1285
40120,35th/Archer,1/5/22,W,838
40130,51st,1/5/22,W,313
40140,Dempster-Skokie,1/5/22,W,381
40150,Pulaski-Cermak,1/5/22,W,453
40160,LaSalle/Van Buren,1/5/22,W,665
40170,Ashland-Lake,1/5/22,W,734
40180,Oak Park-Forest Park,1/5/22,W,294
40190,Sox-35th-Dan Ryan,1/5/22,W,966
40210,Damen-Cermak,1/5/22,W,635
40220,Western-Forest Park,1/5/22,W,428
40230,Cumberland,1/5/22,W,889
40240,79th,1/5/22,W,2039
40250,Kedzie-Homan-Forest Park,1/5/22,W,554
40260,State/Lake,1/5/22,W,2786
40270,Main,1/5/22,W,327
40280,Central-Lake,1/5/22,W,750
40290,Ashland/63rd,1/5/22,W,339
40300,Indiana,1/5/22,W,201
40310,Western-Orange,1/5/22,W,1188
40320,Division/Milwaukee,1/5/22,W,1559
40330,Grand/State,1/5/22,W,2577
40340,Berwyn,1/5/22,W,0
40350,UIC-Halsted,1/5/22,W,786
40360,Southport,1/5/22,W,730
40370,Washington/Dearborn,1/5/22,W,3096
40380,Clark/Lake,1/5/22,W,3699
40390,Forest Park,1/5/22,W,806
40400,Noyes,1/5/22,W,237
40420,Cicero-Cermak,1/5/22,W,449
40430,Clinton-Forest Park,1/5/22,W,713
40440,California-Cermak,1/5/22,W,578
40450,95th/Dan Ryan,1/5/22,W,2842
40460,Merchandise Mart,1/5/22,W,1373
40470,Racine,1/5/22,W,346
40480,Cicero-Lake,1/5/22,W,394
40490,Grand/Milwaukee,1/5/22,W,746
40510,Garfield-South Elevated,1/5/22,W,387
40520,Foster,1/5/22,W,186
40530,Diversey,1/5/22,W,1353
40540,Wilson,1/5/22,W,2482
40550,Irving Park-O'Hare,1/5/22,W,1251
40560,Jackson/State,1/5/22,W,1482
40570,California/Milwaukee,1/5/22,W,1198
40580,54th/Cermak,1/5/22,W,864
40590,Damen/Milwaukee,1/5/22,W,1349
40600,Kostner,1/5/22,W,156
40610,Ridgeland,1/5/22,W,301
40630,Clark/Division,1/5/22,W,2236
40650,North/Clybourn,1/5/22,W,1500
40660,Armitage,1/5/22,W,933
40670,Western/Milwaukee,1/5/22,W,1275
40680,Adams/Wabash,1/5/22,W,1488
40690,Dempster,1/5/22,W,222
40700,Laramie,1/5/22,W,369
40710,Chicago/Franklin,1/5/22,W,1742
40720,East 63rd-Cottage Grove,1/5/22,W,317
40730,Washington/Wells,1/5/22,W,1696
40740,Western-Cermak,1/5/22,W,482
40750,Harlem-O'Hare,1/5/22,W,820
40760,Granville,1/5/22,W,990
40770,Lawrence,1/5/22,W,0
40780,Central Park,1/5/22,W,432
40790,Monroe/Dearborn,1/5/22,W,1353
40800,Sedgwick,1/5/22,W,1026
40810,Medical Center,1/5/22,W,807
40820,Rosemont,1/5/22,W,1766
40830,18th,1/5/22,W,647
40840,South Boulevard,1/5/22,W,208
40850,Library,1/5/22,W,997
40870,Francisco,1/5/22,W,419
40880,Thorndale,1/5/22,W,780
40890,O'Hare Airport,1/5/22,W,4319
40900,Howard,1/5/22,W,1720
40910,63rd-Dan Ryan,1/5/22,W,897
40920,Pulaski-Forest Park,1/5/22,W,776
40930,Midway Airport,1/5/22,W,2330
